43,30
73,41
60,59
9,85
73,31
12,69
5,99
38,93
28,88
43,43
40,53
20,16
19,01
26,01
49,94
74,35
62,78
60,82
95,83
30,81
91,29
36,46
67,50
97,74
79,63
49,38
14,09
64,14
47,16
17,75
64,82
46,00
97,51
18,06
79,11
59,16
30,43
31,40
81,40
74,01
47,08
98,60
25,86
82,92
87,47
47,81
5,23
90,56
84,22
76,75
65,02
19,17
90,25
42,45
9,21
6,13
39,90
36,26
86,98
59,75
32,53
98,67
31,36
30,41
85,59
59,72
79,97
49,03
90,41
73,88
45,87
82,55
17,82
55,51
22,12
56,84
63,12
10,75
97,38
1,85
90,49
4,82
32,25
80,25
35,11
99,92
95,65
71,99
48,27
48,08
89,10
99,61
25,41
26,09
93,06
96,49
39,71
54,77
53,79
39,23
