93,83
19,05
51,21
13,62
85,89
5,03
7,08
85,12
75,83
1,06
10,79
94,36
10,15
35,02
30,00
62,05
77,58
97,63
79,24
89,81
9,85
10,56
44,77
86,08
38,44
21,12
93,46
45,66
62,16
19,46
93,68
78,93
83,88
63,03
6,21
64,43
55,92
84,15
60,85
29,14
33,26
51,48
20,66
44,07
71,08
53,71
49,69
60,19
19,08
74,78
42,71
99,09
58,84
33,96
45,34
56,26
2,32
71,23
92,08
70,79
19,82
68,47
15,92
64,83
93,94
10,81
38,27
58,29
2,36
8,39
30,90
20,25
16,86
18,94
52,26
26,85
68,35
34,01
100,23
57,38
68,69
17,75
90,14
75,39
98,80
15,92
62,65
9,44
69,48
85,34
49,52
69,52
36,48
28,67
76,76
9,30
4,71
58,36
64,89
72,03
