32,73
58,44
2,43
69,88
63,44
80,44
19,98
37,04
61,23
75,67
59,08
41,39
91,67
16,27
7,14
9,51
31,71
42,72
3,89
27,52
59,71
43,79
8,60
39,09
80,67
48,55
27,90
85,69
57,55
47,84
28,07
74,05
57,19
60,60
69,46
92,22
35,12
61,13
43,37
85,85
77,24
87,53
61,85
49,31
88,68
58,62
49,52
82,35
69,65
36,74
13,28
12,49
47,01
87,60
20,30
85,61
36,07
4,39
97,86
82,87
91,95
83,43
79,47
30,81
72,19
60,93
60,98
33,16
73,28
46,79
97,52
67,97
22,39
19,99
67,72
61,71
2,60
82,45
55,05
73,07
65,26
3,46
47,75
93,68
35,93
25,14
38,81
100,26
52,06
40,80
15,16
73,41
79,89
2,97
61,30
31,78
45,53
65,29
66,91
17,33
