35,50
99,89
93,01
22,54
19,84
60,38
97,80
37,37
81,17
8,42
16,56
25,63
62,79
88,61
95,05
67,78
11,54
97,12
74,69
26,15
3,73
11,65
79,74
94,87
46,96
13,09
63,35
15,42
14,92
9,70
8,42
41,59
70,27
70,82
30,12
47,34
57,74
26,37
54,29
85,07
4,27
91,18
53,09
17,71
45,72
28,20
3,00
68,05
11,19
73,91
93,52
51,51
34,51
10,62
55,16
83,97
30,33
85,50
94,45
86,02
67,34
44,36
20,46
36,34
94,69
68,95
22,66
62,74
29,48
81,50
12,94
97,61
92,86
7,07
76,07
65,83
90,20
65,25
82,39
18,08
66,95
96,13
3,99
70,21
35,72
12,69
41,53
60,03
62,72
11,16
12,47
87,02
21,75
64,51
73,78
57,70
72,86
69,92
51,89
19,34
