73,92
65,80
47,77
11,62
95,33
1,93
81,16
95,21
64,94
11,88
18,56
20,21
10,61
85,07
53,19
62,89
16,56
83,75
51,54
16,44
93,70
64,02
36,85
50,26
59,21
82,10
22,10
78,22
69,10
43,06
69,54
9,81
33,73
33,14
91,57
55,68
60,53
13,42
23,58
59,93
10,18
42,66
92,89
35,69
23,11
40,10
80,32
87,39
71,75
95,39
20,60
13,63
20,40
81,74
16,46
97,81
29,65
31,44
47,20
10,15
24,94
87,71
37,35
64,52
60,11
56,32
13,33
96,00
45,73
41,53
17,04
51,26
79,50
66,33
63,88
12,63
11,21
44,81
29,85
8,95
98,50
95,75
27,42
1,57
61,16
60,75
83,15
72,13
21,46
17,78
61,14
80,45
26,21
61,50
86,30
5,28
81,82
55,52
8,58
28,55
